17:40:09.9246: 86
17:40:09.7543: 56013E0000C00000000030FB483D36BDC83D8340163EC2C5473ECCCF783E31A0943ED47CAC3E15EFC33E80E8DA3EEA5AF13E
17:40:09.7192: 000070410000000000409F40000000000000B0400000000000007041CAF249710000803FDC003E00944748C53D0057C53D00
17:40:09.6275: 52410000000000000000000000000000010001000200B61400000000904300800000020001009C1400000000803F00800000
17:40:09.5645: 0000A07F0000A07F0000A07F1A0081790000A07F0000A07F0000A07FDA8DC0738040C0780000A07F0000A07F0000A07F2A00
17:40:09.4985: 0000A07F0000A07F0000A07F00004178050081780100207F0000A07F0000A07F0000A07F7EFE81790000A07F0000A07F0000
17:40:09.4182: 0000A07F0000A07F0000A07F140085790000A07F0000A07F0000A07FF68DC073E48DD0730400C07CF68DC0740000A07F0000
17:40:09.3372: FA0E3D000880000B8075020B90750400C07C0000E07EBA3D417880398077062F817880BFC077101540110400407C80BF8077
17:40:09.2725: A3023E004C3514FE481E1F76AC01010204074E1E0406501E4E0639FF521E1F762C0000BE12020D801F7693021407A98A42C3
17:40:09.2192: 0600BDB2BDAABDA208FEA48200D1CB5A156FAD5C01290356A103A30788DC0209A45CA98308027E76C63342060661448A4683
17:40:09.1765: 06FE461E44A042A84406C41E428A4606E41E08024207A98AC42B01294606428A40FF30FF4407D41E428AF41E86FE060002FE
17:40:09.0952: FFFF166F428AE48A42838492E5A8448AC496428A4283D406E50F0360C406E51E0A024207A98A01024156C400009A84FE0600
17:40:09.0315: 0A024807A98A0802C4A34807A98A5D56A600C4A9488ABF56C40308024807A98A4206C40F186908024807A98AC406421E126F
17:40:08.9745: 21CC001FC7FF1461DD93A888019AA894DD96A60606881F76B7020207A98AE47E1F76B702028A0283DC92D554E868D588DC0E
17:40:08.9075: C4187FFF428ACC1A0400428AC418BFFF428ACC1A02000A024207A98AC41A00400A024207A98AC41A20000C024207A98ABF56
17:40:08.8405: 03564C010156A400C4060D61AD5C03564C01408F00AB0156A50086DCA45CC5C5673E4B967E76821A009A8CFE060002FE42A8
17:40:08.7645: 41963B9241963C9241963D9241963E9241963F9241961F762B002F40036D019A026F009A82FE69FF060008FE7E769215008F
17:40:08.6974: 0F9085FFA8CA209621CD3FFCCC920F9085FFA8CA2196121A010022CD3FFCD4920F9085FFA8CA229623CD3FFCDC920F9085FF
17:40:08.6192: EB610152EE610252F261F76F45920961428AD493008F43437D7679CE019A026F009A86FE060002FE1F769902199241961A92
